Date,Metal,Plastic,Organic,Paper,Hazardous,E-Waste,ID
8/26/2014,0.000592699916673,0.0005794429577521,0.0006171743810134,0.0007041035944005,0.0006732256958241,1.3533065965177693,1
8/27/2014,0.000637883202353,0.0005767969828381,0.0006464367364684,0.000645869278954,0.0006175456040721,0.8297032406808825,1
8/28/2014,0.0006006735095935,0.0005635677009405,0.0006278151804684,0.000688221454467,0.0006580400112334,0.8099587589251945,1
8/29/2014,0.0006724352398895,0.0005794429577521,0.0006597378980614,0.0007041035944005,0.0006732256958241,0.9805056472359538,1
9/2/2014,0.0006830668069746,0.0005820889432495,0.0006783597732895,0.0007173386121903,0.000685880374749,0.8880908391163077,1
9/3/2014,0.0007096452515906,0.0006482353421541,0.0007182632580685,0.0007649847355262,0.000731438370852,1.2918014483314462,1
9/4/2014,0.0007229344632672,0.0007540698936711,0.0007634871372545,0.0008576298388783,0.0008200195668924,2.695762186538227,1
9/5/2014,0.0008186166640147,0.0007408403048539,0.0008166917729855,0.0008417476989448,0.0008048338928897,1.257580902228565,1
9/8/2014,0.0008026697864838,0.0007117357555612,0.0007821086932545,0.0007941015756088,0.0007592777920367,1.6532922171216318,1
9/9/2014,0.0007362236855752,0.0006694022524575,0.0007315644090205,0.0007279264972482,0.0006960050115152,0.9240514129871324,1
9/10/2014,0.0007229344632672,0.0006297144173481,0.0007076221393854,0.0007464554522729,0.0007137213735439,0.765684719051975,1
9/11/2014,0.0006750932140541,0.0005926722396497,0.0006464367364684,0.000693515391702,0.0006631013872855,1.2390206060371716,1
9/12/2014,0.0006910400809536,0.0005900262541523,0.0006198344239233,0.0006167521106427,0.0005897058652478,1.310410078627505,1
9/15/2014,0.0005980155460604,0.0005053589304417,0.0005347070599584,0.000547930217191,0.0005239005014503,1.501426460263929,1
9/16/2014,0.0004996753711484,0.0005132965588475,0.0005267263034133,0.0006220463761064,0.0005947675483516,1.0530309712859167,1
9/17/2014,0.0005740950756089,0.0005371091371453,0.0005932321007373,0.0006246931806095,0.0005972988610689,0.772983168856403,1
